2015 rank,City,State,2015 estimate,2014 land area(sq mi),2014 land area(km2),latitude,longitude,id
261,Billings,Montana,110263,43.4,112.4,45.7895,108.5499,30
262,Manchester,New Hampshire,110229,33.1,85.7,42.9847,71.4439,33
263,Murrieta,California,109830,33.6,87,33.5719,117.1907,6
264,Centennial,Colorado,109741,28.7,74.4,39.5906,104.8691,8
265,Ventura,California,109708,21.7,56.1,34.2681,119.255,6
266,Richmond,California,109708,30.1,77.9,37.953,122.3594,6
267,Pueblo,Colorado,109412,53.6,138.9,38.2731,104.6124,8
268,Pearland,Texas,108821,47.5,122.9,29.5544,95.2958,48
269,Waterbury,Connecticut,108802,28.5,73.9,41.5585,73.0367,9
270,West Covina,California,108484,16,41.5,34.0559,117.9099,6
271,North Charleston,South Carolina,108304,76.6,119.5,32.8853,80.0169,45
272,Everett,Washington,108010,33.4,86.6,48.0033,122.1742,53
273,College Station,Texas,107889,49.6,128.5,30.6013,96.3144,48
274,Palm Bay,Florida,107888,65.7,170.2,27.9856,80.6626,12
275,Pompano Beach,Florida,107762,24,62.2,26.2426,80.129,12
276,Boulder,Colorado,107349,25.7,66.5,40.0175,105.2797,8
277,Norwalk,California,107140,9.7,25.1,33.9069,118.0834,6
278,West Palm Beach,Florida,106779,55.3,143.2,26.7483,80.1266,12
279,Broken Arrow,Oklahoma,106563,61.6,159.5,36.0365,95.781,40
280,Daly City,California,106562,7.7,19.8,37.7009,122.465,6
281,Sandy Springs,Georgia,105330,39,101,33.5615,84.227,13
282,Burbank,California,105319,17.3,44.9,34.189,118.3249,6
283,Green Bay,Wisconsin,105207,45.5,117.8,44.5207,87.9842,55
284,Santa Maria,California,105093,22.8,58.9,34.9332,120.4438,6
285,Wichita Falls,Texas,104710,72.1,186.8,33.9067,98.5259,48
286,Lakeland,Florida,104401,74.4,193,28.0411,81.9589,12
287,Clovis,California,104180,23.3,60.3,36.4931,119.4211,6
288,Lewisville,Texas,104039,42.5,110,33.0383,97.0061,48
289,Tyler,Texas,103700,54.4,140.8,32.35,95.3,48
290,El Cajon,California,103679,14.4,37.4,32.8017,116.9605,6
291,San Mateo,California,103536,15.9,41.1,37.5542,122.3131,6
292,Rialto,California,103132,22.4,57.9,34.1118,117.3883,6
293,Edison,New Jersey,102701,30.6,79.4,40.504,74.3494,34
294,Davenport,Iowa,102582,62.9,163,41.5541,90.604,19
295,Hillsboro,Oregon,102347,24.3,62.8,45.5167,122.9833,41
296,Woodbridge,New Jersey,102105,24.5,63.5,40.5608,74.2926,34
297,Las Cruces,New Mexico,101643,76.3,197.6,32.3197,106.7653,35
298,South Bend,Indiana,101516,41.5,107.4,41.6769,86.269,18
299,Vista,California,100890,18.7,48.4,33.1936,117.2411,6
300,Greeley,Colorado,100883,30,77.7,40.4167,104.7167,8
301,Davie,Florida,100882,35.7,92.5,26.0814,80.2803,12
302,San Angelo,Texas,100450,58.2,150.9,31.45,100.45,48
303,Jurupa Valley,California,100314,43.5,112.7,33.0011,117.4706,6
304,Renton,Washington,100242,23.5,61,47.4867,122.1953,53
305,Wilmington,Delaware,71948,10.9,28,39.745833,75.546667,10
306,Portland,Maine,66881,21.31,55.19,43.666667,70.266667,23
307,Burlington,Vermont,42452,10.3,26.7,44.475833,73.211944,50
308,Charleston,West Virginia,49736,31.52,81.64,38.347222,81.633333,54
309,Cheyenne,Wyoming,63335,24.52,63.51,41.145556,104.801944,56
